date,base_mom6_top20,recommended_daily50_cash
2024-07-09,148390.9906569906,67804.02237070414
2024-07-10,149707.7081346667,68405.66766545536
2024-07-11,147585.34393512312,67435.89969620394
2024-07-12,148386.9973794134,67802.19772972711
2024-07-15,148732.99272444096,67960.29274621389
2024-07-16,149018.02376213882,68090.53145390663
2024-07-17,140681.62092848308,64281.394243339964
2024-07-18,140282.99990181427,64099.25307095462
2024-07-19,140560.0738509115,64225.855960791465
2024-07-22,144083.46333151788,65835.79183429717
2024-07-23,144736.72897056592,66134.28730095533
2024-07-24,137465.60569775605,62811.906320364964
2024-07-25,134964.33642587395,62780.50036720478
2024-07-26,138054.67837277913,62780.50036720478
2024-07-29,137659.4467399173,62569.378144410926
2024-07-30,134925.68720370668,61326.82168913025
2024-07-31,142194.89142993468,61296.158278285686
2024-08-01,139020.20588440914,59930.70677928148
2024-08-02,133882.73720404567,59900.741425891836
2024-08-05,129573.54630508163,59900.741425891836
2024-08-06,132922.4659631688,59900.741425891836
2024-08-07,130980.6840558096,59900.741425891836
2024-08-08,136315.97096744072,59900.741425891836
2024-08-09,135170.0338208371,59900.741425891836
2024-08-12,134872.37658021704,59900.741425891836
2024-08-13,138340.47325952115,59900.741425891836
2024-08-14,138470.94898072508,59900.741425891836
2024-08-15,141477.02833236603,59900.741425891836
2024-08-16,140804.18947266837,59585.91408941908
2024-08-19,142455.00211954542,60284.50964202966
2024-08-20,140918.91472880094,59634.46384693272
2024-08-21,143709.53855952332,60815.407911566435
2024-08-22,141651.32288752843,59944.406397561135
2024-08-23,145811.47776576583,61704.91247413246
2024-08-26,145208.5561572893,61449.7664071022
2024-08-27,145203.4756759374,61447.616434672374
2024-08-28,143723.31155842368,60821.23640809275
2024-08-29,142571.2284828509,60333.69464231113
2024-08-30,143958.4766005263,60920.754213976514
2024-09-03,139251.15624069134,58928.69710542758
2024-09-04,139314.0477585102,58955.31171534609
2024-09-05,139925.90096627944,59214.237481759825
2024-09-06,137468.15264045773,58174.160612283915
2024-09-09,138430.5929069701,58145.073531977774
2024-09-10,139157.75755115435,58145.073531977774
2024-09-11,141969.7623860693,58145.073531977774
2024-09-12,142720.8461742817,58423.61454164801
2024-09-13,144434.31064709957,59125.031262289325
2024-09-16,146170.65939572826,59835.81579530617
2024-09-17,147004.37359126075,60177.101585738004
2024-09-18,146807.92394602508,60096.683772519056
2024-09-19,148105.9370903793,60628.03305784447
2024-09-20,150051.08177448186,61424.28943032261
2024-09-23,152132.8371833607,62276.46820335069
2024-09-24,152758.24660726183,62532.48321511775
2024-09-25,153048.90783351628,62651.467090985156
2024-09-26,152521.27713978288,62435.47837526959
2024-09-27,153056.80026697382,62654.69790486048
2024-09-30,152671.58972990938,62497.0097146759
2024-10-01,151789.7724608241,62136.032649263216
2024-10-02,151904.3778935543,62182.947054591445
2024-10-03,151543.9338358961,62035.39716785146
2024-10-04,152257.3087050912,62327.42135001375
2024-10-07,151302.01580742508,61936.366605569005
2024-10-08,152293.85098859368,62342.38014785616
2024-10-09,153294.72830266115,62752.09514022071
2024-10-10,151811.40705418363,62144.888896805765
2024-10-11,153212.04251337543,62718.24722794444
2024-10-14,154435.15538674447,63218.93564852303
2024-10-15,153708.76017297877,62921.58151202834
2024-10-16,155336.94458657934,63588.088340797825
2024-10-17,154981.03106957534,63442.393057417765
2024-10-18,155538.08934778278,63670.428127245505
2024-10-21,154430.42970036433,63217.00116111689
2024-10-22,154380.5634752082,63196.58812969742
2024-10-23,153360.52711412523,62779.03026918976
2024-10-24,153620.86958186518,62885.602983630415
2024-10-25,153351.41488651768,62775.3001254327
2024-10-28,154290.48983925488,63159.71595910453
2024-10-29,155000.6904424495,63450.44073688239
2024-10-30,154560.224127032,63270.13327010136
2024-10-31,150888.55226045102,61767.1128802517
2024-11-01,150317.3277781947,61533.27879180086
2024-11-04,149949.0493033903,61382.52184050248
2024-11-05,153391.0823274093,62791.538224761745
2024-11-06,161272.64390530254,66017.90163246465
2024-11-07,162635.26688320696,66575.69933168418
2024-11-08,165842.17658177088,67888.46660514877
2024-11-11,169612.17805202614,69431.73879434724
2024-11-12,167946.12372681225,68749.72969538995
2024-11-13,166525.2581917053,68168.09006415325
2024-11-14,164790.65135103578,67458.01859136482
2024-11-15,163825.84859308766,67063.07092989812
2024-11-18,166026.86999564106,67964.07193618188
2024-11-19,170023.54915678385,69600.13596618424
2024-11-20,171734.94277595772,70300.70497075385
2024-11-21,173269.11191656755,70928.72609671627
2024-11-22,175045.14089393598,71655.75396384273
2024-11-25,173667.80695020853,71091.93424457623
2024-11-26,174399.67948160847,71391.53055313452
2024-11-27,173871.03751216026,71175.1278657803
2024-11-29,175343.22565513203,71777.77670723082
2024-12-02,173956.15602080585,71209.97162597913
2024-12-03,174168.7435693655,71296.99558447105
2024-12-04,177367.77573377895,72606.53814317894
2024-12-05,177133.9618858984,72510.82507470125
2024-12-06,178341.59091288145,73005.17509204635
2024-12-09,172523.68863493705,70623.58270916114
2024-12-10,172010.101554496,70413.34282882429
2024-12-11,175309.6959231469,71764.05111500168
2024-12-12,173352.62176303923,70962.9113416295
2024-12-13,173456.97826795242,71005.6302883103
2024-12-16,174326.5593337759,71361.59839222938
2024-12-17,172167.8990758578,70477.9381686838
2024-12-18,162910.1480626426,66688.22355293554
2024-12-19,163113.94722406633,66654.87944115908
2024-12-20,167878.2090384919,66654.87944115908
2024-12-23,167000.8768924654,66654.87944115908
2024-12-24,170176.42005738328,67889.00311161495
2024-12-26,169193.40439495596,67496.84564736231
2024-12-27,165917.0982909954,66189.81876777828
2024-12-30,163816.2173577355,65351.70786988116
2024-12-31,162533.7322223675,65319.03201594623
2025-01-02,164782.9778254888,65319.03201594623
2025-01-03,169401.8857646448,65319.03201594623
2025-01-06,172007.73119349073,65319.03201594623
2025-01-07,168633.6115292529,64005.06828852426
2025-01-08,169099.71381336707,63973.06575438
2025-01-10,167804.3753733562,63973.06575438
2025-01-13,168017.42255921237,63973.06575438
2025-01-14,170399.7084706597,63973.06575438
2025-01-15,173831.2269671284,63973.06575438
